04:08:12_07:30:31 Sent: 00001 StartSession()

04:08:12_07:30:31 Received: 00001 &

04:08:12_07:30:31 Received: 00001 %

04:08:12_07:30:32 Sent: 00005 ChangeTool("BaseTool")

04:08:12_07:30:32 Received: 00005 &

04:08:12_07:30:32 Received: 00005 %

04:08:12_07:30:33 Sent: 00007 FindTool("RefTool")

04:08:12_07:30:33 Received: 00007 &

04:08:12_07:30:33 Received: 00007 %

04:08:12_07:30:34 Sent: 00010 EnumAllProp(Tool())

04:08:12_07:30:34 Received: 00010 &

04:08:12_07:30:34 Received: 00010 # "GoToPar", "Property"

04:08:12_07:30:34 Received: 00010 # "Speed", "Number"

04:08:12_07:30:34 Received: 00010 # "Speed", "Property"

04:08:12_07:30:34 Received: 00010 # "Speed.Act", "Number"

04:08:12_07:30:34 Received: 00010 # "Speed.Def", "Number"

04:08:12_07:30:34 Received: 00010 # "Speed.Max", "Number"

04:08:12_07:30:34 Received: 00010 # "Speed.Min", "Number"

04:08:12_07:30:34 Received: 00010 # "Accel", "Number"

04:08:12_07:30:34 Received: 00010 # "Accel", "Property"

04:08:12_07:30:34 Received: 00010 # "Accel.Act", "Number"

04:08:12_07:30:34 Received: 00010 # "Accel.Def", "Number"

04:08:12_07:30:34 Received: 00010 # "Accel.Max", "Number"

04:08:12_07:30:34 Received: 00010 # "Accel.Min", "Number"

04:08:12_07:30:34 Received: 00010 # "PtMeasPar", "Property"

04:08:12_07:30:34 Received: 00010 # "Speed", "Number"

04:08:12_07:30:34 Received: 00010 # "Speed", "Property"

04:08:12_07:30:34 Received: 00010 # "Speed.Act", "Number"

04:08:12_07:30:34 Received: 00010 # "Speed.Def", "Number"

04:08:12_07:30:34 Received: 00010 # "Speed.Max", "Number"

04:08:12_07:30:34 Received: 00010 # "Speed.Min", "Number"

04:08:12_07:30:34 Received: 00010 # "Accel", "Number"

04:08:12_07:30:34 Received: 00010 # "Accel", "Property"

04:08:12_07:30:34 Received: 00010 # "Accel.Act", "Number"

04:08:12_07:30:34 Received: 00010 # "Accel.Def", "Number"

04:08:12_07:30:35 Received: 00010 # "Accel.Max", "Number"

04:08:12_07:30:35 Received: 00010 # "Accel.Min", "Number"

04:08:12_07:30:35 Received: 00010 # "Approach", "Number"

04:08:12_07:30:35 Received: 00010 # "Approach", "Property"

04:08:12_07:30:35 Received: 00010 # "Approach.Act", "Number"

04:08:12_07:30:35 Received: 00010 # "Approach.Def", "Number"

04:08:12_07:30:35 Received: 00010 # "Approach.Max", "Number"

04:08:12_07:30:35 Received: 00010 # "Approach.Min", "Number"

04:08:12_07:30:35 Received: 00010 # "Search", "Number"

04:08:12_07:30:35 Received: 00010 # "Search", "Property"

04:08:12_07:30:35 Received: 00010 # "Search.Act", "Number"

04:08:12_07:30:35 Received: 00010 # "Search.Def", "Number"

04:08:12_07:30:35 Received: 00010 # "Search.Max", "Number"

04:08:12_07:30:35 Received: 00010 # "Search.Min", "Number"

04:08:12_07:30:35 Received: 00010 # "Retract", "Number"

04:08:12_07:30:35 Received: 00010 # "Retract", "Property"

04:08:12_07:30:35 Received: 00010 # "Retract.Act", "Number"

04:08:12_07:30:35 Received: 00010 # "Retract.Def", "Number"

04:08:12_07:30:35 Received: 00010 # "Retract.Max", "Number"

04:08:12_07:30:35 Received: 00010 # "Retract.Min", "Number"

04:08:12_07:30:35 Received: 00010 %

04:08:12_07:30:36 Sent: 00020 EnumAllProp(FoundTool())

04:08:12_07:30:36 Received: 00020 &

04:08:12_07:30:36 Received: 00020 # "GoToPar", "Property"

04:08:12_07:30:36 Received: 00020 # "Speed", "Number"

04:08:12_07:30:36 Received: 00020 # "Speed", "Property"

04:08:12_07:30:36 Received: 00020 # "Speed.Act", "Number"

04:08:12_07:30:36 Received: 00020 # "Speed.Def", "Number"

04:08:12_07:30:36 Received: 00020 # "Speed.Max", "Number"

04:08:12_07:30:36 Received: 00020 # "Speed.Min", "Number"

04:08:12_07:30:36 Received: 00020 # "Accel", "Number"

04:08:12_07:30:36 Received: 00020 # "Accel", "Property"

04:08:12_07:30:36 Received: 00020 # "Accel.Act", "Number"

04:08:12_07:30:36 Received: 00020 # "Accel.Def", "Number"

04:08:12_07:30:36 Received: 00020 # "Accel.Max", "Number"

04:08:12_07:30:36 Received: 00020 # "Accel.Min", "Number"

04:08:12_07:30:36 Received: 00020 # "PtMeasPar", "Property"

04:08:12_07:30:36 Received: 00020 # "Speed", "Number"

04:08:12_07:30:36 Received: 00020 # "Speed", "Property"

04:08:12_07:30:36 Received: 00020 # "Speed.Act", "Number"

04:08:12_07:30:36 Received: 00020 # "Speed.Def", "Number"

04:08:12_07:30:36 Received: 00020 # "Speed.Max", "Number"

04:08:12_07:30:36 Received: 00020 # "Speed.Min", "Number"

04:08:12_07:30:36 Received: 00020 # "Accel", "Number"

04:08:12_07:30:36 Received: 00020 # "Accel", "Property"

04:08:12_07:30:36 Received: 00020 # "Accel.Act", "Number"

04:08:12_07:30:36 Received: 00020 # "Accel.Def", "Number"

04:08:12_07:30:36 Received: 00020 # "Accel.Max", "Number"

04:08:12_07:30:36 Received: 00020 # "Accel.Min", "Number"

04:08:12_07:30:36 Received: 00020 # "Approach", "Number"

04:08:12_07:30:36 Received: 00020 # "Approach", "Property"

04:08:12_07:30:36 Received: 00020 # "Approach.Act", "Number"

04:08:12_07:30:36 Received: 00020 # "Approach.Def", "Number"

04:08:12_07:30:36 Received: 00020 # "Approach.Max", "Number"

04:08:12_07:30:36 Received: 00020 # "Approach.Min", "Number"

04:08:12_07:30:36 Received: 00020 # "Search", "Number"

04:08:12_07:30:36 Received: 00020 # "Search", "Property"

04:08:12_07:30:36 Received: 00020 # "Search.Act", "Number"

04:08:12_07:30:36 Received: 00020 # "Search.Def", "Number"

04:08:12_07:30:36 Received: 00020 # "Search.Max", "Number"

04:08:12_07:30:36 Received: 00020 # "Search.Min", "Number"

04:08:12_07:30:36 Received: 00020 # "Retract", "Number"

04:08:12_07:30:36 Received: 00020 # "Retract", "Property"

04:08:12_07:30:36 Received: 00020 # "Retract.Act", "Number"

04:08:12_07:30:36 Received: 00020 # "Retract.Def", "Number"

04:08:12_07:30:36 Received: 00020 # "Retract.Max", "Number"

04:08:12_07:30:36 Received: 00020 # "Retract.Min", "Number"

04:08:12_07:30:36 Received: 00020 %

04:08:12_07:30:37 Sent: 00030 EnumAllProp(Tool.GoToPar())

04:08:12_07:30:37 Received: 00030 &

04:08:12_07:30:37 Received: 00030 # "Speed", "Number"

04:08:12_07:30:37 Received: 00030 # "Speed", "Property"

04:08:12_07:30:37 Received: 00030 # "Speed.Act", "Number"

04:08:12_07:30:37 Received: 00030 # "Speed.Def", "Number"

04:08:12_07:30:37 Received: 00030 # "Speed.Max", "Number"

04:08:12_07:30:37 Received: 00030 # "Speed.Min", "Number"

04:08:12_07:30:37 Received: 00030 # "Accel", "Number"

04:08:12_07:30:37 Received: 00030 # "Accel", "Property"

04:08:12_07:30:38 Received: 00030 # "Accel.Act", "Number"

04:08:12_07:30:38 Received: 00030 # "Accel.Def", "Number"

04:08:12_07:30:38 Received: 00030 # "Accel.Max", "Number"

04:08:12_07:30:38 Received: 00030 # "Accel.Min", "Number"

04:08:12_07:30:38 Received: 00030 %

04:08:12_07:30:39 Sent: 00040 EnumAllProp(Tool.PtMeasPar())

04:08:12_07:30:39 Received: 00040 &

04:08:12_07:30:39 Received: 00040 # "Speed", "Number"

04:08:12_07:30:39 Received: 00040 # "Speed", "Property"

04:08:12_07:30:39 Received: 00040 # "Speed.Act", "Number"

04:08:12_07:30:39 Received: 00040 # "Speed.Def", "Number"

04:08:12_07:30:39 Received: 00040 # "Speed.Max", "Number"

04:08:12_07:30:39 Received: 00040 # "Speed.Min", "Number"

04:08:12_07:30:39 Received: 00040 # "Accel", "Number"

04:08:12_07:30:39 Received: 00040 # "Accel", "Property"

04:08:12_07:30:39 Received: 00040 # "Accel.Act", "Number"

04:08:12_07:30:39 Received: 00040 # "Accel.Def", "Number"

04:08:12_07:30:39 Received: 00040 # "Accel.Max", "Number"

04:08:12_07:30:39 Received: 00040 # "Accel.Min", "Number"

04:08:12_07:30:39 Received: 00040 # "Approach", "Number"

04:08:12_07:30:39 Received: 00040 # "Approach", "Property"

04:08:12_07:30:39 Received: 00040 # "Approach.Act", "Number"

04:08:12_07:30:39 Received: 00040 # "Approach.Def", "Number"

04:08:12_07:30:39 Received: 00040 # "Approach.Max", "Number"

04:08:12_07:30:39 Received: 00040 # "Approach.Min", "Number"

04:08:12_07:30:39 Received: 00040 # "Search", "Number"

04:08:12_07:30:39 Received: 00040 # "Search", "Property"

04:08:12_07:30:39 Received: 00040 # "Search.Act", "Number"

04:08:12_07:30:39 Received: 00040 # "Search.Def", "Number"

04:08:12_07:30:39 Received: 00040 # "Search.Max", "Number"

04:08:12_07:30:39 Received: 00040 # "Search.Min", "Number"

04:08:12_07:30:39 Received: 00040 # "Retract", "Number"

04:08:12_07:30:39 Received: 00040 # "Retract", "Property"

04:08:12_07:30:39 Received: 00040 # "Retract.Act", "Number"

04:08:12_07:30:39 Received: 00040 # "Retract.Def", "Number"

04:08:12_07:30:39 Received: 00040 # "Retract.Max", "Number"

04:08:12_07:30:39 Received: 00040 # "Retract.Min", "Number"

04:08:12_07:30:39 Received: 00040 %

04:08:12_07:30:40 Sent: 00050 EnumAllProp(FoundTool.GoToPar())

04:08:12_07:30:40 Received: 00050 &

04:08:12_07:30:40 Received: 00050 # "Speed", "Number"

04:08:12_07:30:40 Received: 00050 # "Speed", "Property"

04:08:12_07:30:40 Received: 00050 # "Speed.Act", "Number"

04:08:12_07:30:40 Received: 00050 # "Speed.Def", "Number"

04:08:12_07:30:40 Received: 00050 # "Speed.Max", "Number"

04:08:12_07:30:40 Received: 00050 # "Speed.Min", "Number"

04:08:12_07:30:40 Received: 00050 # "Accel", "Number"

04:08:12_07:30:40 Received: 00050 # "Accel", "Property"

04:08:12_07:30:40 Received: 00050 # "Accel.Act", "Number"

04:08:12_07:30:40 Received: 00050 # "Accel.Def", "Number"

04:08:12_07:30:40 Received: 00050 # "Accel.Max", "Number"

04:08:12_07:30:40 Received: 00050 # "Accel.Min", "Number"

04:08:12_07:30:40 Received: 00050 %

04:08:12_07:30:41 Sent: 00060 EnumAllProp(FoundTool.PtMeasPar())

04:08:12_07:30:41 Received: 00060 &

04:08:12_07:30:41 Received: 00060 # "Speed", "Number"

04:08:12_07:30:41 Received: 00060 # "Speed", "Property"

04:08:12_07:30:42 Received: 00060 # "Speed.Act", "Number"

04:08:12_07:30:42 Received: 00060 # "Speed.Def", "Number"

04:08:12_07:30:42 Received: 00060 # "Speed.Max", "Number"

04:08:12_07:30:42 Received: 00060 # "Speed.Min", "Number"

04:08:12_07:30:42 Received: 00060 # "Accel", "Number"

04:08:12_07:30:42 Received: 00060 # "Accel", "Property"

04:08:12_07:30:42 Received: 00060 # "Accel.Act", "Number"

04:08:12_07:30:42 Received: 00060 # "Accel.Def", "Number"

